gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
TMIGD1,9.77,2.6,1.67,0.94,-1.909,1.27e-13,25,1.43e-11
AQP8,10.43,3.28,1.63,0.55,-1.669,1.48e-15,25,6.43e-13
GUCA2B,9.87,3.33,1.75,0.77,-1.567,9.48e-14,25,1.18e-11
KRT23,2.55,7.41,0.24,2.45,1.54,1.61e-09,25,2.68e-08
FOXQ1,2.81,8.04,0.44,1.57,1.52,1.08e-13,25,1.30e-11
CWH43,6.29,2.26,1.21,0.48,-1.477,5.09e-13,25,4.06e-11
C2orf40,7.57,2.76,1.61,0.8,-1.458,1.11e-11,25,4.34e-10
RERGL,5.96,2.21,1.32,0.38,-1.429,6.19e-12,25,2.76e-10
CA4,10.65,4.0,1.38,1.76,-1.414,1.23e-11,25,4.69e-10
MS4A12,11.54,4.38,1.53,1.72,-1.397,5.92e-12,25,2.66e-10
MT1JP /// MT1M /// MT1P3,9.71,3.7,1.22,0.97,-1.391,2.11e-14,25,4.02e-12
CLDN8,7.54,2.88,2.16,0.96,-1.388,3.78e-09,25,5.53e-08
MT1JP,8.82,3.4,1.22,1.01,-1.378,2.78e-13,25,2.56e-11
OTOP2,7.18,2.77,1.59,0.19,-1.375,4.34e-13,25,3.63e-11
CA7,7.13,2.77,1.48,0.36,-1.364,1.02e-13,25,1.24e-11
CA1,8.46,3.29,1.04,1.13,-1.362,1.28e-12,25,8.14e-11
DPEP1,2.94,7.29,0.59,1.85,1.31,5.60e-10,25,1.12e-08
SCNN1B,6.91,2.8,1.43,0.83,-1.304,4.48e-11,25,1.36e-09
MT1M,10.08,4.1,1.23,1.13,-1.296,3.30e-14,25,5.61e-12
CD177,7.59,3.11,1.84,1.08,-1.287,1.58e-09,25,2.65e-08
ADH1B,8.21,3.39,0.95,0.77,-1.276,2.30e-15,25,8.22e-13
MMP7,2.23,5.33,0.27,1.76,1.255,3.75e-09,25,5.50e-08
DPT,5.98,2.54,1.9,0.9,-1.234,1.78e-07,25,1.58e-06
FABP4,8.0,3.41,2.3,0.84,-1.229,7.07e-09,25,9.52e-08
BMP3,4.75,2.03,0.62,0.25,-1.226,1.51e-17,25,3.02e-14
REG1A,3.08,7.16,1.88,3.55,1.217,3.30e-05,25,1.51e-04
OGN,6.96,3.0,1.4,1.15,-1.215,5.95e-10,25,1.17e-08
