gene_symbol,tractability,safety_profile,has_inhibitor,clinical_trials,target_class
TMIGD1,Difficult,High Risk,No,None,Kinase
AQP8,Tractable,Unknown,Yes,None,Transcription Factor
GUCA2B,Tractable,Unknown,No,Preclinical,Kinase
KRT23,Tractable,Moderate Risk,No,None,GPCR
FOXQ1,Difficult,Moderate Risk,In Development,Preclinical,Enzyme
CWH43,Unknown,Moderate Risk,In Development,None,Kinase
C2orf40,Difficult,Safe,In Development,None,Other
RERGL,Unknown,Safe,No,None,Enzyme
CA4,Tractable,Safe,No,None,GPCR
MS4A12,Difficult,Moderate Risk,No,None,Kinase
MT1JP /// MT1M /// MT1P3,Unknown,Unknown,No,None,Enzyme
CLDN8,Unknown,Safe,Yes,Phase 1,Ion Channel
MT1JP,Difficult,Unknown,In Development,Preclinical,GPCR
OTOP2,Difficult,Unknown,In Development,Phase 1,Other
CA7,Unknown,Safe,In Development,None,Transcription Factor
CA1,Unknown,Safe,No,Preclinical,Kinase
DPEP1,Unknown,Moderate Risk,No,Phase 1,Ion Channel
SCNN1B,Difficult,High Risk,No,None,Enzyme
MT1M,Tractable,High Risk,No,None,Transcription Factor
CD177,Difficult,Moderate Risk,No,Phase 1,Kinase
ADH1B,Tractable,Moderate Risk,No,None,Other
MMP7,Difficult,High Risk,No,Preclinical,Kinase
DPT,Difficult,Unknown,In Development,None,Transcription Factor
FABP4,Unknown,Safe,No,None,Enzyme
BMP3,Unknown,Moderate Risk,No,Preclinical,GPCR
REG1A,Difficult,Unknown,No,Phase 1,Enzyme
OGN,Difficult,Safe,In Development,Preclinical,Other
CRNDE,Difficult,High Risk,No,Preclinical,Other
VIP,Unknown,Moderate Risk,In Development,Preclinical,GPCR
INSL5,Tractable,Moderate Risk,No,Phase 1,GPCR
SST,Unknown,Safe,In Development,None,Other
BEST4,Difficult,High Risk,No,Preclinical,Transcription Factor
CLCA4,Difficult,High Risk,No,None,Kinase
TMEM100,Unknown,Safe,No,Phase 1,Enzyme
ZG16,Difficult,Moderate Risk,Yes,Preclinical,Transcription Factor
MMP3,Tractable,Moderate Risk,No,None,Kinase
PCOLCE2,Difficult,Unknown,In Development,None,GPCR
PKIB,Difficult,Moderate Risk,No,None,GPCR
BEST2,Tractable,Unknown,No,None,Ion Channel
CEL,Difficult,Unknown,No,None,Transcription Factor
GREM2,Difficult,Safe,Yes,None,Transcription Factor
C11orf86,Tractable,High Risk,In Development,Phase 1,Kinase
COL11A1,Difficult,High Risk,No,Preclinical,Transcription Factor
CEACAM7,Difficult,High Risk,No,None,Other
HRASLS2,Difficult,Safe,No,Preclinical,GPCR
DHRS9,Difficult,Moderate Risk,No,None,Transcription Factor
TESC,Unknown,Moderate Risk,No,None,Kinase
ABCG2,Unknown,Safe,In Development,None,Kinase
MMP1,Unknown,Unknown,No,Preclinical,Kinase
TNXA /// TNXB,Unknown,Unknown,No,None,Other
CLDN1,Difficult,Unknown,No,Preclinical,Kinase
MUSTN1,Difficult,High Risk,No,None,Kinase
SFRP1,Difficult,Safe,No,None,Other
C2CD4A,Unknown,High Risk,No,Preclinical,GPCR
GCG,Unknown,Unknown,No,None,Enzyme
GUCA2A,Difficult,High Risk,No,None,Transcription Factor
ETV4,Unknown,Moderate Risk,No,Phase 1,Enzyme
CLEC3B,Tractable,Moderate Risk,No,Preclinical,Enzyme
UGT2B17,Tractable,Unknown,Yes,Preclinical,Kinase
CILP,Difficult,Moderate Risk,No,None,Kinase
FABP6,Tractable,Moderate Risk,No,None,Transcription Factor
KRT24,Unknown,Moderate Risk,No,None,GPCR
TRPM6,Difficult,Safe,Yes,None,Other
STMN2,Difficult,Safe,No,Preclinical,GPCR
LY6G6D,Difficult,High Risk,No,Preclinical,Other
VSIG2,Unknown,High Risk,No,None,GPCR
PYY,Difficult,Safe,No,Preclinical,Kinase
AKR1B15,Tractable,High Risk,No,None,Kinase
C2orf88,Difficult,Safe,No,None,Ion Channel
PLP1,Difficult,Safe,No,Preclinical,Transcription Factor
CXCL5,Difficult,High Risk,No,Preclinical,Kinase
TEX11,Difficult,Moderate Risk,Yes,None,Enzyme
CFD,Difficult,Moderate Risk,No,None,Other
FABP2,Difficult,Unknown,No,Preclinical,Kinase
NKD2,Tractable,Safe,Yes,None,Kinase
CHI3L1,Difficult,Safe,No,None,GPCR
AKR1B10 /// AKR1B15 /// LOC340888,Tractable,High Risk,No,None,Transcription Factor
SLC4A4,Unknown,Safe,In Development,None,Other
FAM55D,Unknown,Moderate Risk,No,None,Ion Channel
